year;india;china;japan;s_korea;taiwan;malaysia;philipina;thailan;hongkong;spain;others;total
2012;4848.1;5609.0;3558.9;2545.2;2393.2;1300.7;969.6;978.2;855.0;361.2;869.1;24288.2
2013;5450.7;5275.7;3225.1;2061.8;1997.3;1136.9;1007.2;834.9;819.7;206.8;743.6;22759.7
2014;5604.2;2697.6;2593.5;1874.4;1724.7;815.3;921.8;850.3;723.5;187.2;705.2;18697.7
2015;4651.4;1537.7;2033.7;1377.4;1284.8;803.7;801.4;789.7;474.1;227.6;735.8;14717.3
2016;3305.2;2097.0;1980.1;1200.9;952.1;807.0;788.3;635.5;404.0;210.7;533.8;12914.6
2017;4714.3;2714.6;2505.9;1831.7;1099.4;1322.2;1195.5;808.4;538.5;160.0;986.5;17877.0
2018;5370.0;2760.1;2786.9;2045.1;1310.5;1626.0;1540.7;965.9;681.4;110.0;1434.7;20631.3
2019;4836.1;3143.0;2333.1;1406.7;1307.7;1582.6;1493.4;812.6;450.4;24.5;1567.1;18957.2
2020;3391.2;2652.7;1695.7;1042.0;953.2;1305.7;1225.3;655.3;171.2;0.0;1441.7;14534.0
2021;4078.4;9143.1;2540.8;1422.7;1167.4;2359.4;2347.0;869.1;485.4;11.2;2108.6;26533.1
