year;migas;non_migas;total
2021;26890.2;594777.6;621667.8
2020;27497.9;552180.3;579678.2
2019;26528.2;627946.2;654474.4
2018;37055.5;571852;608907.5
2017;42505;503341.6;545846.6
2016;43328.8;468399.3;511728.1
2015;44964.7;463862.5;508827.2
2014;41743.1;507722.4;549465.5
2013;44041.9;655963.2;700005
2012;48446;551690.6;600136.6
2011;59053.9;523165.9;582219.8
2010;55925.1;422921.7;478846.8
2009;46072.8;332926.3;378999.1
2008;44800.9;310253.1;355054
2007;45710.9;297062.6;342773.5
2006;48291.5;278880.8;327172.3
2005;51927.4;206804.1;258731.5
2004;56862.5;175455;232317.4
2003;61556.2;158010.7;219566.8
2002;64246;159024.1;223270.1
2001;65100.5;207356.2;272456.6
2000;65627.7;159475.1;225102.8
1999;73794.2;161171.8;234966
1998;74303.4;170621.1;244924.5
1997;78212.9;176244;254456.9
1996;78287.7;135896.6;214184.3
