year;migas;non_migas;total
2021;12247.4;219362.1;231609.5
2020;8251.1;154940.7;163191.8
2019;11789.3;155893.7;167683
2018;17171.7;162841;180012.7
2017;15744.4;153083.8;168828.2
2016;13105.5;132028.5;145134
2015;18574.4;131791.9;150366.3
2014;30018.8;145961.2;175980
2013;32633.2;149918.6;182551.8
2012;36977.3;153043;190020.3
2011;41477;162019.6;203496.6
2010;28039.6;129739.5;157779.1
2009;19018.3;97491.7;116510
2008;29126.2;107894.2;137020.4
2007;22088.6;92012.4;114101
2006;21209.4;79589.2;100798.6
2005;19231.5;66428.4;85659.9
2004;15645.3;55939.3;71584.6
2003;13643.7;47390.8;61034.5
2002;12135.9;44969.9;57105.8
2001;12621.6;43701.6;56323.1
2000;14366.6;47757.4;62124
1999;9792.3;38873.2;48665.5
1998;7872.1;40975.5;48847.6
1997;11622.6;41821;53443.6
1996;11722;38092.7;49814.7
