year;coal;bauxite;nickel;gold;silver;granite;iron_sand;tin_concentrate;copper_concentrate;nickel_ore
1996;50332047;841976;3426867;83564;255404;4827058;425101;52304;1758910;
1997;55982040;808749;2829936;86928;249392;8824088;516403;54521;1817880;
1998;58504660;1055647;2736640;123862;383191;9662649;509978;53960;2640040;
1999;62108239;1116323;2798449;127768;361377;8720155;502198;49708;2645180;
2000;67105675;1150776;2434585;109612;310430;5941370;420418;56360;3270335;
2001;71072961;1237006;2473825;148528;333561;3976274;440648;69494;2418110;
2002;105539301;1283485;2120582;140246;281903;3975434;190946;88142;2851190;
2003;113525813;1262705;2499728;138475;272050;3938915;245911;74316;3238306;
2004;128479707;1331519;2105957;86855;255053;4035040;79635;73080;2812664;
2005;149665233;1441899;3790896;142894;326993;4302849;87940;78404;3553808;
2006;162294657;2117630;3869883;138992;270624;4514654;84954;79100;817796;
2007;188663068;1251147;7112870;117854;268967;1793440;84371;64127;796899;
2008;178930188;1152322;6571764;64390;226051;2050000;4455259;79210;655046;
2009;228806887;935211;5819565;140488;359451;;4561059;56602;973347;
2010;325325793;2200000;9475362;119726;335040;2172080;8975507;97796;993152;
2011;415765068;24714940;4119333;68220;227173;3316813;11814544;89600;1472238;
2012;466307241;;4710653;69291;;;11545752;44202;2265865;
2013;458462513;;;59804;;;22353337;59412;1909548;52037910
2014;435742874;2539274;;69349;;;5951400;51801;1571596;7806982
2015;405871432;;;92339;;;3838546;93180;2282831;7834620
2016;;;;;;;;;;
2017;461087221;1294236;;100514;;;1955926;71531;2253461;20920251
2018;557983706;5693640;;132734;;;6988688;82809;2309262;38329146
2019;616154054;16592187;;108977;;;2507786;86947;1697725;60948143
2020;565640928;25859895;;65890;;;;65127;2273456;48040003
2021;614058577;25781187;;78996;;;;52467;3377023;65509854
